order_id,product_name
201901010000001,citrus fruit
201901010000001,semi-finished bread
201901010000001,margarine
201901010000001,ready soups
201901010000002,tropical fruit
201901010000002,yogurt
201901010000002,coffee
201901010000003,whole milk
201901010000004,pip fruit
201901010000004,yogurt
201901010000004,cream cheese 
201901010000004,meat spreads
201901010000005,other vegetables
201901010000005,whole milk
201901010000005,condensed milk
201901010000005,long life bakery product
201901010000006,whole milk
201901010000006,butter
201901010000006,yogurt
201901010000006,rice
201901010000006,abrasive cleaner
201901010000007,rolls/buns
201901010000008,other vegetables
201901010000008,UHT-milk
201901010000008,rolls/buns
201901010000008,bottled beer
201901010000008,liquor (appetizer)
201901010000009,pot plants
201901010000010,whole milk
201901010000010,cereals
201901010000011,tropical fruit
201901010000011,other vegetables
201901010000011,white bread
201901010000011,bottled water
201901010000011,chocolate
201901010000012,citrus fruit
201901010000012,tropical fruit
201901010000012,whole milk
201901010000012,butter
201901010000012,curd
201901010000012,yogurt
201901010000012,flour
201901010000012,bottled water
201901010000012,dishes
201901010000013,beef
201901010000014,frankfurter
201901010000014,rolls/buns
201901010000014,soda
201901010000015,chicken
201901010000015,tropical fruit
201901010000016,butter
201901010000016,sugar
201901010000016,fruit/vegetable juice
201901010000016,newspapers
201901010000017,fruit/vegetable juice
201901010000018,packaged fruit/vegetables
201901010000019,chocolate
201901010000020,specialty bar
201901010000021,other vegetables
201901010000022,butter milk
201901010000022,pastry
201901010000023,whole milk
201901010000024,tropical fruit
201901010000024,cream cheese 
201901010000024,processed cheese
201901010000024,detergent
201901010000024,newspapers
201901010000025,tropical fruit
201901010000025,root vegetables
201901010000025,other vegetables
201901010000025,frozen dessert
201901010000025,rolls/buns
201901010000025,flour
201901010000025,sweet spreads
201901010000025,salty snack
201901010000025,waffles
201901010000025,candy
201901010000025,bathroom cleaner
201901010000026,bottled water
201901010000026,canned beer
201901010000027,yogurt
201901010000028,sausage
201901010000028,rolls/buns
201901010000028,soda
201901010000028,chocolate
201901010000029,other vegetables
201901010000030,brown bread
201901010000030,soda
201901010000030,fruit/vegetable juice
201901010000030,canned beer
201901010000030,newspapers
201901010000030,shopping bags
201901010000031,yogurt
201901010000031,beverages
201901010000031,bottled water
201901010000031,specialty bar
201901010000032,hamburger meat
201901010000032,other vegetables
201901010000032,rolls/buns
201901010000032,spices
201901010000032,bottled water
201901010000032,hygiene articles
201901010000032,napkins
201901010000033,root vegetables
201901010000033,other vegetables
201901010000033,whole milk
201901010000033,beverages
201901010000033,sugar
201901010000034,pork
201901010000034,berries
201901010000034,other vegetables
201901010000034,whole milk
201901010000034,whipped/sour cream
201901010000034,artif. sweetener
201901010000034,soda
201901010000034,abrasive cleaner
201901010000035,beef
201901010000035,grapes
201901010000035,detergent
201901010000036,pastry
201901010000036,soda
201901010000037,fruit/vegetable juice
201901010000038,canned beer
201901010000039,root vegetables
201901010000039,other vegetables
201901010000039,whole milk
201901010000039,dessert
201901010000040,citrus fruit
201901010000040,zwieback
201901010000040,newspapers
201901010000041,sausage
201901010000041,rolls/buns
201901010000041,soda
201901010000041,canned beer
201901010000041,specialty bar
201901010000041,shopping bags
201901010000042,tropical fruit
201901010000042,root vegetables
201901010000042,whole milk
201901010000042,yogurt
201901010000042,domestic eggs
201901010000042,brown bread
201901010000042,pastry
201901010000042,sugar
201901010000042,cereals
201901010000042,coffee
201901010000042,soda
201901010000042,waffles
201901010000042,candy
201901010000043,berries
201901010000043,yogurt
201901010000044,canned beer
201901010000045,butter milk
201901010000045,yogurt
201901010000045,cream cheese 
201901010000045,spread cheese
201901010000045,rolls/buns
201901010000045,bottled water
201901010000045,soda
201901010000045,newspapers
201901010000046,coffee
201901010000047,pastry
201901010000047,bottled water
201901010000048,rolls/buns
201901010000049,misc. beverages
201901010000050,root vegetables
201901010000050,other vegetables
201901010000050,butter
201901010000050,curd
201901010000050,whipped/sour cream
201901010000050,UHT-milk
201901010000050,hard cheese
201901010000050,rolls/buns
201901010000050,bottled water
201901010000050,long life bakery product
201901010000051,sausage
201901010000051,rolls/buns
201901010000051,cat food
201901010000051,newspapers
201901010000052,canned beer
201901010000053,ham
201901010000053,grapes
201901010000053,other vegetables
201901010000053,whole milk
201901010000054,turkey
201901010000054,tropical fruit
201901010000054,other vegetables
201901010000054,curd
201901010000054,domestic eggs
201901010000054,brown bread
201901010000054,semi-finished bread
201901010000054,margarine
201901010000054,baking powder
201901010000054,fruit/vegetable juice
201901010000055,whole milk
201901010000055,yogurt
201901010000055,processed cheese
201901010000055,pickled vegetables
201901010000055,soda
201901010000056,whole milk
201901010000056,curd
201901010000056,yogurt
201901010000056,pastry
201901010000057,packaged fruit/vegetables
201901010000057,brown bread
201901010000057,canned beer
201901010000058,rolls/buns
201901010000058,oil
201901010000058,bottled water
201901010000058,chewing gum
201901010000058,chocolate marshmallow
201901010000058,hygiene articles
201901010000058,napkins
201901010000059,ham
201901010000059,beef
201901010000059,whipped/sour cream
201901010000059,ice cream
201901010000059,rolls/buns
201901010000059,cat food
201901010000060,rolls/buns
201901010000060,pastry
201901010000060,sugar
201901010000061,other vegetables
201901010000061,whole milk
201901010000061,frozen vegetables
201901010000061,canned fish
201901010000061,salty snack
201901010000061,seasonal products
201901010000061,detergent
201901010000062,sausage
201901010000062,pastry
201901010000063,sausage
201901010000063,beef
201901010000063,whole milk
201901010000064,frankfurter
201901010000064,tropical fruit
201901010000064,rolls/buns
201901010000064,brown bread
201901010000064,sugar
201901010000065,rolls/buns
201901010000065,pastry
201901010000065,soda
201901010000066,whole milk
201901010000067,curd cheese
201901010000067,coffee
201901010000068,red/blush wine
201901010000068,newspapers
201901010000069,sausage
201901010000069,whole milk
201901010000069,curd
201901010000070,tropical fruit
201901010000070,pip fruit
201901010000070,berries
201901010000070,whole milk
201901010000070,frozen potato products
201901010000070,rolls/buns
201901010000070,pickled vegetables
201901010000070,chocolate
201901010000071,red/blush wine
201901010000072,whole milk
201901010000072,butter
201901010000072,margarine
201901010000072,specialty fat
201901010000072,specialty chocolate
201901010000072,candles
201901010000072,flower (seeds)
201901010000073,frankfurter
201901010000073,citrus fruit
201901010000073,whole milk
201901010000073,domestic eggs
201901010000073,oil
201901010000073,sparkling wine
201901010000073,specialty chocolate
201901010000073,newspapers
201901010000074,whole milk
201901010000074,meat spreads
201901010000074,soda
201901010000075,frozen potato products
201901010000076,other vegetables
201901010000076,whole milk
201901010000076,rolls/buns
201901010000076,sugar
201901010000077,citrus fruit
201901010000077,whole milk
201901010000077,curd
201901010000077,butter milk
201901010000077,pastry
201901010000078,flour
201901010000078,salt
201901010000078,bottled water
201901010000078,fruit/vegetable juice
201901010000078,bottled beer
201901010000079,sugar
201901010000079,bottled water
201901010000079,soda
201901010000079,bottled beer
201901010000080,frozen meals
201901010000080,coffee
201901010000081,chocolate
201901010000082,root vegetables
201901010000082,whole milk
201901010000082,frozen vegetables
201901010000082,domestic eggs
201901010000082,rolls/buns
201901010000082,oil
201901010000082,margarine
201901010000082,canned vegetables
201901010000082,fruit/vegetable juice
201901010000082,bathroom cleaner
201901010000083,root vegetables
201901010000083,onions
201901010000083,hard cheese
201901010000083,frozen vegetables
201901010000084,herbs
201901010000084,condensed milk
201901010000084,frozen vegetables
201901010000084,salt
201901010000084,oil
201901010000084,white wine
201901010000084,candles
201901010000085,bottled water
201901010000086,sausage
201901010000086,root vegetables
201901010000086,onions
201901010000086,yogurt
201901010000086,rolls/buns
201901010000086,brandy
201901010000086,detergent
201901010000087,coffee
201901010000087,newspapers
201901010000088,pork
201901010000088,other vegetables
201901010000088,whipped/sour cream
201901010000089,berries
201901010000089,yogurt
201901010000090,soda
201901010000091,berries
201901010000092,fruit/vegetable juice
201901010000092,salty snack
201901010000092,candles
201901010000093,citrus fruit
201901010000093,butter milk
201901010000093,yogurt
201901010000093,cream cheese 
201901010000094,pork
201901010000094,hamburger meat
201901010000094,citrus fruit
201901010000094,berries
201901010000094,onions
201901010000094,whipped/sour cream
201901010000094,rice
201901010000094,coffee
201901010000094,chocolate
201901010000095,detergent
201901010000096,grapes
201901010000096,photo/film
201901010000097,sausage
201901010000097,sliced cheese
201901010000097,rolls/buns
201901010000097,brown bread
201901010000097,fruit/vegetable juice
201901010000097,canned beer
201901010000097,red/blush wine
201901010000097,waffles
201901010000097,shopping bags
201901010000098,chicken
201901010000098,hamburger meat
201901010000098,citrus fruit
201901010000098,tropical fruit
201901010000098,root vegetables
201901010000098,other vegetables
201901010000098,butter
201901010000098,pasta
201901010000098,oil
201901010000098,detergent
201901010000099,whole milk
201901010000099,yogurt
201901010000099,brown bread
201901010000100,citrus fruit
201901010000100,tropical fruit
201901010000101,soda
201901010000101,misc. beverages
201901010000102,sausage
201901010000102,pork
201901010000102,grapes
201901010000102,whole milk
201901010000102,rolls/buns
201901010000102,pastry
201901010000102,soda
201901010000102,specialty bar
201901010000102,bathroom cleaner
201901010000103,frankfurter
201901010000103,rolls/buns
201901010000103,bottled water
201901010000104,sausage
201901010000104,whole milk
201901010000104,yogurt
201901010000104,coffee
201901010000104,fruit/vegetable juice
201901010000104,bottled beer
201901010000104,softener
201901010000104,napkins
201901010000104,photo/film
201901010000104,shopping bags
201901010000105,soda
201901010000106,rolls/buns
201901010000106,fruit/vegetable juice
201901010000107,beef
201901010000107,citrus fruit
201901010000107,berries
201901010000107,root vegetables
201901010000107,brown bread
201901010000107,detergent
201901010000108,whole milk
201901010000108,whipped/sour cream
201901010000108,rolls/buns
201901010000108,soda
201901010000108,waffles
201901010000108,candy
201901010000108,cling film/bags
201901010000109,processed cheese
201901010000110,tropical fruit
201901010000110,pip fruit
201901010000111,frankfurter
201901010000111,sausage
201901010000111,root vegetables
201901010000111,other vegetables
201901010000111,rolls/buns
201901010000111,oil
201901010000111,pickled vegetables
201901010000111,bottled beer
201901010000111,chewing gum
201901010000111,dishes
201901010000112,packaged fruit/vegetables
201901010000112,bottled water
201901010000113,whole milk
201901010000113,dessert
201901010000113,frozen vegetables
201901010000113,rolls/buns
201901010000113,margarine
201901010000113,bottled water
201901010000113,red/blush wine
201901010000113,newspapers
201901010000114,berries
201901010000114,whipped/sour cream
201901010000115,citrus fruit
201901010000115,berries
201901010000115,UHT-milk
201901010000115,processed cheese
201901010000116,tropical fruit
201901010000116,whole milk
201901010000116,yogurt
201901010000117,hamburger meat
201901010000117,whole milk
201901010000117,frozen vegetables
201901010000117,rolls/buns
201901010000117,bottled beer
201901010000117,sparkling wine
201901010000118,hamburger meat
201901010000118,other vegetables
201901010000118,whole milk
201901010000118,frozen vegetables
201901010000118,domestic eggs
201901010000118,soda
201901010000118,dishes
201901010000119,whole milk
201901010000119,cream cheese 
201901010000119,soda
201901010000120,fish
201901010000120,other vegetables
201901010000120,pastry
201901010000120,margarine
201901010000120,coffee
201901010000120,long life bakery product
201901010000120,male cosmetics
201901010000120,shopping bags
201901010000121,frankfurter
201901010000121,sausage
201901010000121,long life bakery product
201901010000121,waffles
201901010000122,packaged fruit/vegetables
201901010000122,dessert
201901010000122,semi-finished bread
201901010000122,canned beer
201901010000123,pastry
201901010000123,soda
201901010000124,other vegetables
201901010000124,red/blush wine
201901010000125,misc. beverages
201901010000126,frankfurter
201901010000126,sausage
201901010000126,citrus fruit
201901010000126,tropical fruit
